Port-Name;Port-Number;Protocol
Palo Alto Panorama;3978;TCP
cAdvisor;4194;TCP
OTLP-gRPC;4317;TCP
OTLP-HTTP;4318;TCP
Cisco AnyConnect (alt) / HTTPS-Alt;4443;TCP
IPsec-NAT-T;4500;UDP
IPFIX;4739;UDP
VXLAN;4789;UDP
SAP HANA / Docker Registry;5000;TCP
Iperf;5001;TCP/UDP
SIP;5060;TCP/UDP
SIP-TLS;5061;TCP
Iperf3;5201;TCP/UDP
XMPP-Client / WhatsApp;5222;TCP
CAPWAP (Control);5246;UDP
CAPWAP (Data);5247;UDP
XMPP-Server;5269;TCP
mDNS;5353;UDP
PostgreSQL;5432;TCP
Kibana;5601;TCP
NRPE (Nagios Remote Plugin Executor);5666;TCP
AMQP (TLS);5671;TCP
AMQP;5672;TCP
CoAP;5683;UDP
CoAPS;5684;UDP
DFS Replication (RPC);5722;TCP
VNC;5900;TCP
TeamViewer;5938;TCP/UDP
CouchDB;5984;TCP
WinRM (HTTP);5985;TCP
WinRM (HTTPS);5986;TCP
sFlow;6343;UDP
Redis;6379;TCP
Kubernetes-API;6443;TCP
Syslog-TLS;6514;TCP
Weave Net;6783;TCP/UDP
Jaeger Agent (Compact Thrift);6831;UDP
Jaeger Agent (Binary Thrift);6832;UDP
BitTorrent;6881-6889;TCP/UDP
Cassandra-JMX;7199;TCP
Windows Update Delivery Optimization;7680;TCP/UDP
HTTP-Alt;8000;TCP
Tomcat-Shutdown;8005;TCP
AJP;8009;TCP
Fortinet FortiGate Mgmt;8443;TCP
HTTP-Proxy/Tomcat;8080;TCP
HTTP-Alt;8081;TCP
InfluxDB;8086;TCP
Splunk HTTP Event Collector (HEC);8088;TCP
Splunk-Mgmt;8089;TCP
StatsD / Datadog Agent;8125;UDP
Datadog APM Trace Agent;8126;TCP
GlobalProtect/HashiCorp Vault;8200;TCP
vSphere/HTTPS-Alt/Tomcat-SSL;8443;TCP
Flannel VXLAN Backend;8472;UDP
Consul;8500;TCP
WSUS (HTTP);8530;TCP
WSUS (HTTPS);8531;TCP
MQTT (TLS);8883;TCP
Jupyter/HTTP-Alt;8888;TCP
MinIO/Portainer/SonarQube/PHP-FPM;9000;TCP
Cassandra;9042;TCP
Prometheus;9090;TCP
Prometheus Pushgateway;9091;TCP
Kafka;9092;TCP
Prometheus Alertmanager;9093;TCP
Prometheus Node Exporter;9100;TCP
Prometheus Blackbox Exporter;9115;TCP
CoreDNS Metrics;9153;TCP
Elasticsearch (HTTP);9200;TCP
Elasticsearch (Transport);9300;TCP
Active Directory Web Services (ADWS);9389;TCP
Nutanix Prism (Web Console / REST API);9440;TCP
HTTPS-Mgmt / Various Mgmt UIs;9443;TCP
Splunk Forwarder;9997;TCP
NetApp NDMP / Webmin;10000;TCP
Kubelet API;10250;TCP
kube-scheduler;10251;TCP
kube-controller-manager;10252;TCP
Kubelet (read-only);10255;TCP
Kubernetes kube-proxy Healthz;10256;TCP
NetApp SnapMirror (Legacy 7-Mode);10566;TCP
Thanos Sidecar (gRPC);10901;TCP
Thanos Sidecar (HTTP);10902;TCP
NetApp SnapMirror Intercluster (Control);11104;TCP
NetApp SnapMirror Intercluster (Data);11105;TCP
Memcached;11211;TCP/UDP
Jaeger Collector (HTTP);14268;TCP
RabbitMQ-Mgmt;15672;TCP
RTP/RTCP;16384-32767;UDP
Minecraft;25565;TCP
Steam Server;27015;TCP/UDP
MongoDB;27017;TCP
Kubernetes NodePort Services;30000-32767;TCP/UDP
Plex Media Server;32400;TCP
Traceroute;33434-33534;UDP
Ephemeral / Dynamic Ports;32768-65535;TCP/UDP
DB2;50000;TCP
